Atomic Number,Symbol,Name,Selected applications
39,Y,Yttrium,"Yttrium aluminium garnet (YAG) laser, yttrium vanadate (YVO4) as host for europium in TV red phosphor, YBCO high-temperature superconductors, yttria-stabilized zirconia (YSZ), yttrium iron garnet (YIG) microwave filters,[4] energy-efficient light bulbs,[5] spark plugs, gas mantles, additive to steel"
57,La,Lanthanum,"High refractive index and alkali-resistant glass, flint, hydrogen storage, battery-electrodes, camera lenses, fluid catalytic crackingcatalyst for oil refineries"
58,Ce,Cerium,"Chemical oxidizing agent, polishing powder, yellow colors in glass and ceramics, catalyst for self-cleaning ovens, fluid catalytic cracking catalyst for oil refineries, ferrocerium flints for lighters"
59,Pr,Praseodymium,"Rare-earth magnets, lasers, core material for carbon arc lighting, colorant in glasses and enamels, additive in didymium glass used in welding goggles,[4] ferrocerium firesteel (flint) products."
60,Nd,Neodymium,"Rare-earth magnets, lasers, violet colors in glass and ceramics, didymium glass, ceramic capacitors"
61,Pm,Promethium,"Nuclear batteries, luminous paint"
62,Sm,Samarium,"Rare-earth magnets, lasers, neutron capture, masers"
63,Eu,Europium,"Red and blue phosphors, lasers, mercury-vapor lamps, fluorescent lamps, NMR relaxation agent"
64,Gd,Gadolinium,"High refractive index glass or garnets, lasers, X-ray tubes, computer memories, neutron capture, MRI contrast agent, NMRrelaxation agent, magnetostrictive alloys such as Galfenol, steel additive"
65,Tb,Terbium,"Additive in Neodymium based magnets, Green phosphors, lasers, fluorescent lamps, magnetostrictive alloys such as Terfenol-D"
66,Dy,Dysprosium,"Additive in Neodymium based magnets, lasers, magnetostrictive alloys such as Terfenol-D"
67,Ho,Holmium,"Lasers, wavelength calibration standards for optical spectrophotometers, magnets"
68,Er,Erbium,"Infrared lasers, vanadium steel, fiber-optic technology"
69,Tm,Thulium,"Portable X-ray machines, metal-halide lamps, lasers"
70,Yb,Ytterbium,"Infrared lasers, chemical reducing agent, decoy flares, stainless steel, stress gauges, nuclear medicine"
71,Lu,Lutetium,"Positron emission tomography – PET scan detectors, high-refractive-index glass, lutetium tantalate hosts for phosphors"
